Drug name,Disease name,Reported Effect,,
3-keto-desogestrel,Amnesia,side effect,,
3-keto-desogestrel,"Anemia, Hemolytic, Autoimmune",side effect,,
3-keto-desogestrel,"Arrhythmia, Sinus",side effect,,
3-keto-desogestrel,Bronchopneumonia,side effect,,
3-keto-desogestrel,Burkitt Lymphoma,side effect,,
3-keto-desogestrel,Celiac Disease,side effect,,
3-keto-desogestrel,Intracranial Aneurysm,side effect,,
3-keto-desogestrel,Cerebral Infarction,side effect,,
3-keto-desogestrel,Cleft Lip,side effect,,
3-keto-desogestrel,Coma,side effect,,
3-keto-desogestrel,Consciousness Disorders,side effect,,
3-keto-desogestrel,"Hearing Loss, Sudden",side effect,,
3-keto-desogestrel,Decompression Sickness,side effect,,
3-keto-desogestrel,"Ductus Arteriosus, Patent",side effect,,
3-keto-desogestrel,"Epilepsy, Tonic-Clonic",side effect,,
3-keto-desogestrel,Erythromelalgia,therapeutic effect,,
3-keto-desogestrel,Fibromyalgia,side effect,,
3-keto-desogestrel,"Hemangioma, Cavernous",side effect,,
3-keto-desogestrel,"Hepatitis, Animal",side effect,,
3-keto-desogestrel,"Liver Neoplasms, Experimental",side effect,,
3-keto-desogestrel,Multiple Sclerosis,side effect,,
3-keto-desogestrel,Muscular Diseases,side effect,,
3-keto-desogestrel,Myoclonus,side effect,,
3-keto-desogestrel,Nasal Polyps,side effect,,
3-keto-desogestrel,Oligomenorrhea,side effect,,
3-keto-desogestrel,Paraplegia,side effect,,
3-keto-desogestrel,"Parkinson Disease, Secondary",side effect,,
3-keto-desogestrel,Pemphigus,side effect,,
3-keto-desogestrel,Plasmacytoma,side effect,,
3-keto-desogestrel,"Psychoses, Alcoholic",side effect,,
3-keto-desogestrel,Rheumatic Diseases,side effect,,
3-keto-desogestrel,"Shock, Septic",side effect,,
3-keto-desogestrel,Tinnitus,side effect,,
3-keto-desogestrel,Tongue Neoplasms,side effect,,
3-keto-desogestrel,Peripheral Vascular Diseases,side effect,,
3-keto-desogestrel,Mitochondrial Myopathies,side effect,,
3-keto-desogestrel,Systemic Inflammatory Response Syndrome,side effect,,
3-keto-desogestrel,"Optic Neuropathy, Ischemic",side effect,,
3-keto-desogestrel,Metabolic Syndrome X,side effect,,
4-Aminopyridine,Berylliosis,therapeutic effect,,
4-Aminopyridine,Cleft Palate,therapeutic effect,,
4-Aminopyridine,"Hypotension, Orthostatic",therapeutic effect,,
4-Aminopyridine,Kidney Diseases,therapeutic effect,,
4-Aminopyridine,Myoclonus,therapeutic effect,,
4-hydroxybutyric acid,"Tachycardia, Paroxysmal",therapeutic effect,,
